item_id,city,quality,sell_price_min,sell_price_min_date,sell_price_max,sell_price_max_date,buy_price_min,buy_price_min_date,buy_price_max,buy_price_max_date
T6_METALBAR_LEVEL3@3,Thetford,1,48478,2023-01-08T19:10:00,55000,2023-01-08T19:10:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T6_METALBAR_LEVEL4@4,Bridgewatch,1,343991,2023-01-08T15:50:00,388998,2023-01-08T15:50:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T6_METALBAR_LEVEL4@4,Fort Sterling,1,283000,2023-01-08T17:50:00,500000,2023-01-08T17:50:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T6_METALBAR_LEVEL4@4,Lymhurst,1,292999,2023-01-08T18:20:00,350000,2023-01-08T18:20:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T6_METALBAR_LEVEL4@4,Martlock,1,294000,2023-01-08T07:35:00,399996,2023-01-08T07:35:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T6_METALBAR_LEVEL4@4,Thetford,1,282219,2023-01-08T19:10:00,285000,2023-01-08T19:10:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T6_ORE,Bridgewatch,1,720,2023-01-08T12:50:00,840,2023-01-08T12:50:00,1,2023-01-08T06:30:00,719,2023-01-08T06:30:00
T6_ORE,Fort Sterling,1,743,2023-01-08T22:15:00,779,2023-01-08T22:15:00,1,2023-01-08T22:15:00,742,2023-01-08T22:15:00
T6_ORE,Lymhurst,1,799,2023-01-08T19:25:00,979,2023-01-08T19:25:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T6_ORE,Martlock,1,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T6_ORE,Thetford,1,781,2023-01-08T20:30:00,833,2023-01-08T20:30:00,10,2023-01-08T20:30:00,750,2023-01-08T20:30:00
